"gene_id" "projection_parent_gene"
"184" "ENSG05220037375" "ENSG00000236155.6"
"185" "ENSG05220037377" "ENSG00000117676.14"
"186" "ENSG05220037388" "ENSG00000060642.11"
"187" "ENSG05220037393" "ENSG00000206888.1"
"188" "ENSG05220037395" "ENSG00000176092.17"
"189" "ENSG05220037397" "ENSG00000172746.6"
"190" "ENSG05220037398" "ENSG00000224183.1"
"191" "ENSG05220037399" "ENSG00000204160.12"
"192" "ENSG05220037400" "ENSG00000252691.1"
"193" "ENSG05220037407" "ENSG00000117616.18"
"194" "ENSG05220037409" "ENSG00000207302.1"
"195" "ENSG05220037410" "ENSG00000225854.2"
"196" "ENSG05220037411" "ENSG00000282872.2"
"197" "ENSG05220037412" "ENSG00000117682.17"
"198" "ENSG05220037415" "ENSG00000198830.11"
"199" "ENSG05220062564" "ENSG00000238316.1"
"200" "ENSG05220037261" "ENSG00000158062.20"
"201" "ENSG05220019662" "ENSG00000229554.2"
"202" "ENSG05220019663" "ENSG00000284645.1"
"203" "ENSG05220019664" "ENSG00000261593.1"
"204" "ENSG05220019665" "ENSG00000162367.11"
"205" "ENSG05220019666" "ENSG00000242267.6"
"206" "ENSG05220019667" "ENSG00000123472.12"
"207" "ENSG05220019668" "ENSG00000232027.2"
"208" "ENSG05220019669" "ENSG00000223720.2"
"209" "ENSG05220019670" "ENSG00000162368.14"
"210" "ENSG05220019671" "ENSG00000261664.5"
"211" "ENSG05220019672" "ENSG00000225514.1"
"212" "ENSG05220019673" "ENSG00000225623.1"
"213" "ENSG05220019674" "ENSG00000279096.2"
"214" "ENSG05220019675" "ENSG00000215887.5"
"215" "ENSG05220019676" "ENSG00000162373.13"
"216" "ENSG05220019677" "ENSG00000284700.1"
"217" "ENSG05220019678" "ENSG00000225767.1"
"218" "ENSG05220019679" "ENSG00000275816.1"
"219" "ENSG05220019680" "ENSG00000237130.1"
"220" "ENSG05220019681" "ENSG00000206595.1"
"221" "ENSG05220019682" "ENSG00000271355.1"
"222" "ENSG05220019683" "ENSG00000162374.18"
"223" "ENSG05220019684" "ENSG00000186790.6"
"224" "ENSG05220019685" "ENSG00000227883.1"
"225" "ENSG05220019686" "ENSG00000085831.16"
"226" "ENSG05220019687" "ENSG00000142961.15"
"227" "ENSG05220019688" "ENSG00000213478.2"
"228" "ENSG05220019689" "ENSG00000284696.2"
"229" "ENSG05220019690" "ENSG00000231413.1"
"230" "ENSG05220019691" "ENSG00000238145.2"
"231" "ENSG05220019692" "ENSG00000204006.10"
"232" "ENSG05220019693" "ENSG00000234080.3"
"233" "ENSG05220019694" "ENSG00000186094.17"
"234" "ENSG05220019695" "ENSG00000238140.1"
"235" "ENSG05220019696" "ENSG00000226133.6"
"236" "ENSG05220019697" "ENSG00000265538.1"
"237" "ENSG05220019698" "ENSG00000225506.2"
"238" "ENSG05220019699" "ENSG00000232514.1"
"239" "ENSG05220019700" "ENSG00000154198.14"
"240" "ENSG05220019701" "ENSG00000227947.2"
"241" "ENSG05220019702" "ENSG00000286597.1"
"242" "ENSG05220019703" "ENSG00000269113.4"
"243" "ENSG05220019704" "ENSG00000162366.8"
"244" "ENSG05220019705" "ENSG00000225762.1"
"245" "ENSG05220019706" "ENSG00000252032.1"
"246" "ENSG05220019707" "ENSG00000261290.1"
"247" "ENSG05220019708" "ENSG00000237424.1"
"248" "ENSG05220019709" "ENSG00000207194.1"
"249" "ENSG05220019710" "ENSG00000223814.1"
"250" "ENSG05220019711" "ENSG00000224805.2"
"251" "ENSG05220019712" "ENSG00000272491.1"
"252" "ENSG05220019713" "ENSG00000186160.5"
"253" "ENSG05220019714" "ENSG00000123473.17"
"254" "ENSG05220019715" "ENSG00000132122.12"
"255" "ENSG05220019716" "ENSG00000186118.9"
"256" "ENSG05220019717" "ENSG00000259832.1"
"257" "ENSG05220019718" "ENSG00000228237.5"
"258" "ENSG05220019719" "ENSG00000237180.1"
"259" "ENSG05220019720" "ENSG00000229316.1"
"260" "ENSG05220019721" "ENSG00000123080.12"
"261" "ENSG05220019722" "ENSG00000226252.1"
"262" "ENSG05220019723" "ENSG00000117834.13"
"263" "ENSG05220019724" "ENSG00000236476.2"
"264" "ENSG05220019725" "ENSG00000162365.12"
"265" "ENSG05220019726" "ENSG00000230828.1"
"266" "ENSG05220019727" "ENSG00000233595.2"
"267" "ENSG05220019728" "ENSG00000123091.5"
"268" "ENSG05220019729" "ENSG00000203356.2"
"269" "ENSG05220019730" "ENSG00000229846.2"
"270" "ENSG05220019731" "ENSG00000142700.12"
"271" "ENSG05220019732" "ENSG00000237337.1"
"272" "ENSG05220019733" "ENSG00000085832.17"
"273" "ENSG05220019734" "ENSG00000233406.5"
"274" "ENSG05220019735" "ENSG00000261196.1"
"275" "ENSG05220019736" "ENSG00000185104.20"
"276" "ENSG05220019737" "ENSG00000287661.1"
"277" "ENSG05220019738" "ENSG00000230585.2"
"278" "ENSG05220019739" "ENSG00000223175.1"
"279" "ENSG05220019740" "ENSG00000233407.1"
"280" "ENSG05220019741" "ENSG00000236434.2"
"281" "ENSG05220019742" "ENSG00000187048.13"
"282" "ENSG05220019743" "ENSG00000117859.19"
"283" "ENSG05220019744" "ENSG00000186377.8"
"284" "ENSG05220019745" "ENSG00000225154.2"
"285" "ENSG05220019746" "ENSG00000235105.1"
"286" "ENSG05220019747" "ENSG00000237478.2"
"287" "ENSG05220019748" "ENSG00000206700.1"
"288" "ENSG05220019749" "ENSG00000225028.1"
"289" "ENSG05220019750" "ENSG00000279324.1"
"290" "ENSG05220019751" "ENSG00000279214.1"
"291" "ENSG05220019752" "ENSG00000142973.14"
"292" "ENSG05220019753" "ENSG00000159658.15"
"293" "ENSG05220019754" "ENSG00000225671.2"
"294" "ENSG05220019755" "ENSG00000233647.2"
"295" "ENSG05220019756" "ENSG00000186564.6"
"296" "ENSG05220019757" "ENSG00000227742.2"
"297" "ENSG05220019758" "ENSG00000227070.1"
"298" "ENSG05220019759" "ENSG00000230114.1"
"299" "ENSG05220019760" "ENSG00000224986.2"
"300" "ENSG05220019761" "ENSG00000200262.1"
"301" "ENSG05220018886" "ENSG00000186973.11"
"302" "ENSG05220018895" "ENSG00000284895.1"
"303" "ENSG05220018896" "ENSG00000066135.13"
"304" "ENSG05220018898" "ENSG00000179862.7"
"305" "ENSG05220018899" "ENSG00000178922.18"
"306" "ENSG05220018900" "ENSG00000228940.1"
"307" "ENSG05220018901" "ENSG00000233708.1"
"308" "ENSG05220018902" "ENSG00000274975.1"
"309" "ENSG05220018903" "ENSG00000127125.9"
"310" "ENSG05220018904" "ENSG00000283136.1"
"311" "ENSG05220018905" "ENSG00000044012.4"
"312" "ENSG05220018906" "ENSG00000287400.1"
"313" "ENSG05220018907" "ENSG00000229348.1"
"314" "ENSG05220018908" "ENSG00000233674.2"
"315" "ENSG05220018910" "ENSG00000117407.17"
"316" "ENSG05220018912" "ENSG00000065978.19"
"317" "ENSG05220018913" "ENSG00000264582.2"
"318" "ENSG05220018914" "ENSG00000283836.1"
"319" "ENSG05220018915" "ENSG00000281207.1"
"320" "ENSG05220018916" "ENSG00000117013.17"
"321" "ENSG05220018918" "ENSG00000229901.1"
"322" "ENSG05220018919" "ENSG00000207962.1"
"323" "ENSG05220018921" "ENSG00000117385.16"
"324" "ENSG05220018928" "ENSG00000229431.1"
"325" "ENSG05220018929" "ENSG00000274386.5"
"326" "ENSG05220018930" "ENSG00000127129.10"
"327" "ENSG05220018933" "ENSG00000284410.1"
"328" "ENSG05220018934" "ENSG00000164010.15"
"329" "ENSG05220018935" "ENSG00000200254.1"
"330" "ENSG05220018942" "ENSG00000171790.15"
"331" "ENSG05220018948" "ENSG00000288573.1"
"332" "ENSG05220018949" "ENSG00000284138.1"
"333" "ENSG05220018951" "ENSG00000283414.1"
"334" "ENSG05220018952" "ENSG00000228452.1"
"335" "ENSG05220018954" "ENSG00000159479.17"
"336" "ENSG05220018959" "ENSG00000117399.14"
"337" "ENSG05220018961" "ENSG00000127124.16"
"338" "ENSG05220018964" "ENSG00000224751.2"
"339" "ENSG05220018965" "ENSG00000229444.1"
"340" "ENSG05220018968" "ENSG00000164011.18"
"341" "ENSG05220018980" "ENSG00000171960.12"
"342" "ENSG05220018983" "ENSG00000236200.6"
"343" "ENSG05220018984" "ENSG00000234694.1"
"344" "ENSG05220018985" "ENSG00000227527.2"
"345" "ENSG05220018986" "ENSG00000229372.1"
"346" "ENSG05220018987" "ENSG00000228192.8"
"347" "ENSG05220018988" "ENSG00000283973.2"
"348" "ENSG05220018989" "ENSG00000213987.4"
"349" "ENSG05220018992" "ENSG00000253313.6"
"350" "ENSG05220018997" "ENSG00000198815.9"
"351" "ENSG05220018999" "ENSG00000177181.15"
"352" "ENSG05220019000" "ENSG00000236876.3"
"353" "ENSG05220019001" "ENSG00000164008.16"
"354" "ENSG05220019005" "ENSG00000198974.3"
"355" "ENSG05220019007" "ENSG00000235002.1"
"356" "ENSG05220019008" "ENSG00000277513.1"
"357" "ENSG05220019009" "ENSG00000215893.3"
"358" "ENSG05220019010" "ENSG00000286668.1"
"359" "ENSG05220019011" "ENSG00000237950.3"
"360" "ENSG05220019015" "ENSG00000243710.8"
"361" "ENSG05220019037" "ENSG00000126091.21"
"362" "ENSG05220019046" "ENSG00000066056.14"
"363" "ENSG05220019047" "ENSG00000171793.16"
"364" "ENSG05220019048" "ENSG00000066322.15"
"365" "ENSG05220019049" "ENSG00000237090.1"
"366" "ENSG05220019050" "ENSG00000010803.16"
"367" "ENSG05220019051" "ENSG00000066185.13"
"368" "ENSG05220019052" "ENSG00000117394.24"
"369" "ENSG05220019053" "ENSG00000199240.1"
"370" "ENSG05220019054" "ENSG00000229528.1"
"371" "ENSG05220019055" "ENSG00000235358.2"
"372" "ENSG05220019056" "ENSG00000228776.2"
"373" "ENSG05220019057" "ENSG00000287113.1"
"374" "ENSG05220019058" "ENSG00000227538.1"
"375" "ENSG05220019059" "ENSG00000252563.1"
"376" "ENSG05220019060" "ENSG00000236180.2"
"377" "ENSG05220019061" "ENSG00000117400.18"
"378" "ENSG05220019062" "ENSG00000186409.18"
"379" "ENSG05220019063" "ENSG00000197273.4"
"380" "ENSG05220019064" "ENSG00000230116.1"
"381" "ENSG05220019065" "ENSG00000287587.1"
"382" "ENSG05220019066" "ENSG00000230638.4"
"383" "ENSG05220019067" "ENSG00000286640.1"
"384" "ENSG05220019068" "ENSG00000142949.17"
"385" "ENSG05220019069" "ENSG00000066136.20"
"386" "ENSG05220019070" "ENSG00000164007.11"
"387" "ENSG05220019071" "ENSG00000230881.1"
"388" "ENSG05220019072" "ENSG00000233118.2"
"389" "ENSG05220019073" "ENSG00000225099.1"
"390" "ENSG05220019074" "ENSG00000283477.1"
"391" "ENSG05220019075" "ENSG00000198198.17"
"392" "ENSG05220019076" "ENSG00000285728.2"
"393" "ENSG05220019077" "ENSG00000117408.11"
"394" "ENSG05220019078" "ENSG00000179178.11"
"395" "ENSG05220019079" "ENSG00000117395.13"
"396" "ENSG05220019080" "ENSG00000234917.2"
"397" "ENSG05220019081" "ENSG00000227533.6"
"398" "ENSG05220019082" "ENSG00000177868.12"
"399" "ENSG05220018909" "ENSG00000207256.1"
"400" "ENSG05220018932" "ENSG00000204060.7"
"401" "ENSG05220036337" "ENSG00000234329.1"
"402" "ENSG05220036338" "ENSG00000159592.11"
"403" "ENSG05220036339" "ENSG00000250719.2"
"404" "ENSG05220036340" "ENSG00000227994.1"
"405" "ENSG05220036341" "ENSG00000232022.7"
"406" "ENSG05220036342" "ENSG00000281112.1"
"407" "ENSG05220036343" "ENSG00000202031.1"
"408" "ENSG05220036344" "ENSG00000229815.1"
"409" "ENSG05220036345" "ENSG00000226957.1"
"410" "ENSG05220036346" "ENSG00000227857.2"
"411" "ENSG05220036347" "ENSG00000230615.7"
"412" "ENSG05220036348" "ENSG00000159588.15"
"413" "ENSG05220036349" "ENSG00000117419.16"
"414" "ENSG05220036350" "ENSG00000226499.1"
"415" "ENSG05220036351" "ENSG00000173846.13"
"416" "ENSG05220036352" "ENSG00000159596.7"
"417" "ENSG05220036353" "ENSG00000222009.8"
"418" "ENSG05220036354" "ENSG00000226804.4"
"419" "ENSG05220036355" "ENSG00000224863.3"
"420" "ENSG05220036356" "ENSG00000280836.1"
"421" "ENSG05220036357" "ENSG00000173660.12"
"422" "ENSG05220036358" "ENSG00000227163.2"
"423" "ENSG05220036359" "ENSG00000132781.20"
"424" "ENSG05220036360" "ENSG00000117410.14"
"425" "ENSG05220036361" "ENSG00000199377.1"
"426" "ENSG05220036362" "ENSG00000132763.15"
"427" "ENSG05220036363" "ENSG00000271647.1"
"428" "ENSG05220036364" "ENSG00000070785.17"
"429" "ENSG05220036365" "ENSG00000233602.1"
"430" "ENSG05220036366" "ENSG00000162415.7"
"431" "ENSG05220036367" "ENSG00000207421.1"
"432" "ENSG05220036368" "ENSG00000233114.2"
"433" "ENSG05220036369" "ENSG00000236872.1"
"434" "ENSG05220036370" "ENSG00000232467.2"
"435" "ENSG05220036371" "ENSG00000281859.1"
"436" "ENSG05220036372" "ENSG00000117411.18"
"437" "ENSG05220036373" "ENSG00000117472.10"
"438" "ENSG05220036374" "ENSG00000202444.1"
"439" "ENSG05220036375" "ENSG00000281912.1"
"440" "ENSG05220036376" "ENSG00000171357.6"
"441" "ENSG05220036377" "ENSG00000126106.14"
"442" "ENSG05220036378" "ENSG00000225721.5"
"443" "ENSG05220036379" "ENSG00000132780.17"
"444" "ENSG05220036380" "ENSG00000225779.1"
"445" "ENSG05220036382" "ENSG00000197429.11"
"446" "ENSG05220036383" "ENSG00000230896.1"
"447" "ENSG05220036384" "ENSG00000281825.1"
"448" "ENSG05220036385" "ENSG00000285649.1"
"449" "ENSG05220036386" "ENSG00000271329.1"
"450" "ENSG05220036387" "ENSG00000197587.11"
"451" "ENSG05220036388" "ENSG00000200171.1"
"452" "ENSG05220036389" "ENSG00000282881.2"
"453" "ENSG05220036391" "ENSG00000186603.7"
"454" "ENSG05220036392" "ENSG00000232369.1"
"455" "ENSG05220036393" "ENSG00000079277.22"
"456" "ENSG05220036394" "ENSG00000188396.4"
"457" "ENSG05220036395" "ENSG00000268949.1"
"458" "ENSG05220036396" "ENSG00000280670.3"
"459" "ENSG05220036397" "ENSG00000269956.2"
"460" "ENSG05220036398" "ENSG00000126107.15"
"461" "ENSG05220036399" "ENSG00000142945.13"
"462" "ENSG05220036400" "ENSG00000234093.3"
"463" "ENSG05220036401" "ENSG00000117448.14"
"464" "ENSG05220036402" "ENSG00000196517.13"
"465" "ENSG05220036403" "ENSG00000234379.1"
"466" "ENSG05220036404" "ENSG00000236111.5"
"467" "ENSG05220036405" "ENSG00000142959.5"
"468" "ENSG05220036406" "ENSG00000200913.1"
"469" "ENSG05220036407" "ENSG00000085999.13"
"470" "ENSG05220036408" "ENSG00000225447.1"
"471" "ENSG05220036409" "ENSG00000171872.5"
"472" "ENSG05220036410" "ENSG00000126088.14"
"473" "ENSG05220036411" "ENSG00000117480.16"
"474" "ENSG05220036412" "ENSG00000132768.14"
"475" "ENSG05220036413" "ENSG00000117450.15"
"476" "ENSG05220036414" "ENSG00000263381.1"
"477" "ENSG05220036415" "ENSG00000239560.3"
"478" "ENSG05220036416" "ENSG00000117481.11"
"479" "ENSG05220036417" "ENSG00000253039.1"
"480" "ENSG05220036418" "ENSG00000132773.12"
"481" "ENSG05220036419" "ENSG00000199385.1"
"482" "ENSG05220036420" "ENSG00000142937.12"
"483" "ENSG05220036421" "ENSG00000238037.1"
"484" "ENSG05220036422" "ENSG00000233514.1"
"485" "ENSG05220036423" "ENSG00000159214.13"
"486" "ENSG05220036424" "ENSG00000132128.17"
"487" "ENSG05220036425" "ENSG00000281133.1"
"488" "ENSG05220036426" "ENSG00000086015.22"
"489" "ENSG05220036427" "ENSG00000187147.18"
"490" "ENSG05220036428" "ENSG00000162456.10"
"491" "ENSG05220036429" "ENSG00000264294.1"
"492" "ENSG05220036430" "ENSG00000070759.17"
"493" "ENSG05220036431" "ENSG00000085998.14"
"494" "ENSG05220036432" "ENSG00000117425.14"
"495" "ENSG05220036433" "ENSG00000234315.1"
"496" "ENSG05220036434" "ENSG00000198520.12"
"497" "ENSG05220036435" "ENSG00000178028.14"
"498" "ENSG05220036436" "ENSG00000117461.15"
"499" "ENSG05220036381" "ENSG00000200169.1"
"500" "ENSG05220036390" "ENSG00000283039.1"
"501" "ENSG05220036109" "ENSG00000170075.10"
"502" "ENSG05220036111" "ENSG00000234761.1"
"503" "ENSG05220036113" "ENSG00000231333.2"
"504" "ENSG05220036114" "ENSG00000230280.2"
"505" "ENSG05220036115" "ENSG00000236439.4"
"506" "ENSG05220036116" "ENSG00000188783.6"
"507" "ENSG05220036117" "ENSG00000198700.10"
"508" "ENSG05220036122" "ENSG00000232296.1"
"509" "ENSG05220036123" "ENSG00000221028.1"
"510" "ENSG05220036124" "ENSG00000260021.1"
"511" "ENSG05220036125" "ENSG00000231547.1"
"512" "ENSG05220036127" "ENSG00000081277.13"
"513" "ENSG05220036128" "ENSG00000282221.1"
"514" "ENSG05220036129" "ENSG00000134375.11"
"515" "ENSG05220036130" "ENSG00000229821.1"
"516" "ENSG05220036132" "ENSG00000223396.4"
"517" "ENSG05220036135" "ENSG00000214796.8"
"518" "ENSG05220036138" "ENSG00000134369.15"
"519" "ENSG05220036140" "ENSG00000234996.4"
"520" "ENSG05220036141" "ENSG00000122180.5"
"521" "ENSG05220036142" "ENSG00000176393.11"
"522" "ENSG05220036143" "ENSG00000231507.2"
"523" "ENSG05220036144" "ENSG00000163395.17"
"524" "ENSG05220036145" "ENSG00000133063.16"
"525" "ENSG05220036146" "ENSG00000224818.1"
"526" "ENSG05220036147" "ENSG00000224671.2"
"527" "ENSG05220036148" "ENSG00000202300.1"
"528" "ENSG05220036149" "ENSG00000223774.5"
"529" "ENSG05220036150" "ENSG00000143862.8"
"530" "ENSG05220036151" "ENSG00000275207.1"
"531" "ENSG05220036152" "ENSG00000233217.2"
"532" "ENSG05220036153" "ENSG00000226148.1"
"533" "ENSG05220036154" "ENSG00000272262.1"
"534" "ENSG05220036155" "ENSG00000243323.7"
"535" "ENSG05220036157" "ENSG00000198892.7"
"536" "ENSG05220036158" "ENSG00000118194.20"
"537" "ENSG05220036175" "ENSG00000058668.15"
